main,sub
database,database;dba;database administration;data warehousing;data;storage
word,word;microsoft word;excel;microsoft excel;powerpoint;microsoft powerpoint;ms office;microsoft office;ms word;ms excel;ms powerpoint
support,support;technical support;customer service;help desk;desktop support;call center;helpdesk;technical support;application support
development,development;engineer;engineering;implementation;software development;business development
analysis,analysis;analytical;analytical skills;business analysis;data mining;analytics
systems,systems;application;applications;system;system administrator
ui,ui;ux;user interface;ux design
testing,testing;test;unit testing;tester
management,management;project management;director;supervision
quality assurance,quality assurance;qa;troubleshooting;quality
object oriented programming,object oriented programming;oop;ood;object oriented design
programming,programming;algorithms;coding;algorithm
windows,windows;windows 7;windows server
vb,vb;visual basic;vb.net
tsql,tsql;t sql;t-sql
documentation,documentation;release;technical writing
web services,web services;restful;restful web services
react,react;react js;reactjs
node.js,node.js;nodejs;node js
devops,devops;docker;kubernates
java,java;core java;jms
javascript,javascript;js;java script
paas,paas;saas;iaas
html,html;html5;html 5
ms exchange,ms exchange;microsoft exchange;exchange
security,security;information security;cyber security
css,css;css3;css 3
architect,architect;design;architecture
angularjs,angularjs;angular js;angular.js
wpf,wpf;Windows Presentation Foundation
vmware,vmware;vm
ms visio,ms visio;visio
ump,ump;uml
software engineer,software engineer;systems engineer
switches,switches;switching
subversion,subversion;svn
sun,sun;sun microsystems
san,san;storage area network
sql,sql;sql queries
ssl,ssl;secure sockets layer
scrum,scrum;scrum master
scripting,scripting;scripts
salesforce,salesforce;salesforce.com
ruby,ruby;ruby on rails
routers,routers;routing
reporting,reporting;report
protocols,protocols;protocol
developer,developer;programmer
postgresql,postgresql;postgre
metrics,metrics;performance
ms outlook,ms outlook;outlook
network,network;networks
sql server,sql server;ms sql
mobile,mobile;mobile development
access,access;microsoft access
it,it;information technology
hbase,hbase;hbase
firewall,firewall;firewalls
ecommerce,ecommerce;e-commerce
modeling,modeling;data modeling
cms,cms;content management system
configuration management,configuration management;configuration
cloud,cloud;cloud computing
capacity planning,capacity planning;capacity
business requirements,business requirements;business development
web,web;browser
bgp,bgp;border gateway protocol
business intelligence,business intelligence;bi
backbone,backbone;backbone network
automation,automation;automated
apache,apache;apache
android,android;android sdk
agile,agile;agile development
c#,c#
c,c
python,python
c++,c++
xml,xml
perl,perl
php,php
nosql,nosql
scala,scala
shell scripting,shell scripting
r,r
vba,vba
assembly,assembly
objective c,objective c
vbscript,vbscript
cobol,cobol
apex,apex
swift,swift
pig,pig
oracle,oracle
cisco,cisco
aws,aws
sap,sap
informatica,informatica
sas,sas
ibm,ibm
adobe,adobe
microsoft,microsoft
cissp,cissp
pmp,pmp
ccna,ccna
ccnp,ccnp
mcse,mcse
ccie,ccie
project,project
networking,networking
consulting,consulting
research,research
hardware,hardware
sales,sales
software,software
video,video
data analysis,data analysis
big data,big data
puppet,puppet
accounting,accounting
materials,materials
change management,change management
telecom,telecom
full time,full time
supply chain,supply chain
validation,validation
infrastructure,infrastructure
risk management,risk management
healthcare,healthcare
disaster recovery,disaster recovery
integration,integration
leadership,leadership
virtualization,virtualization
marketing,marketing
telecommunications,telecommunications
automotive,automotive
weblogic,weblogic
linux,linux
unix,unix
ios,ios
git,git
powershell,powershell
chef,chef
selenium,selenium
citrix,citrix
sharepoint,sharepoint
jsp,jsp
jira,jira
tableau,tableau
cass,cass
middleware,middleware
websphere,websphere
jenkins,jenkins
azure,azure
maven,maven
tfs,tfs
junit,junit
sccm,sccm
malab,malab
powerbi,powerbi
ssas,ssas
jboss,jboss
ansible,ansible
cognos,cognos
ms project,ms project
atom,atom
xcode,xcode
eclipse,eclipse
netbeans,netbeans
sox,sox
encryption,encryption
.net,.net
mvc,mvc
ssis,ssis
hadoop,hadoop
spark,spark
ip,ip
http,http
tcp,tcp
pl,pl
wan,wan
api,api
soap,soap
rest,rest
lan,lan
dns,dns
vpn,vpn
wireless,wireless
dhcp,dhcp
voip,voip
ethernet,ethernet
jquery,jquery
asp.net,asp.net
ajax,ajax
angular,angular
bootstrap,bootstrap
asp,asp
iis,iis
tomcat,tomcat
django,django
db2,db2
mysql,mysql
ssrs,ssrs
mongodb,mongodb
j2ee,j2ee
json,json
manager,manager
analyst,analyst
project manager,project manager
recruiter,recruiter
business analyst,business analyst
network engineer,network engineer
program manager,program manager
web developer,web developer
etl,etl
active directory,active directory
soa,soa
erp,erp
genetics,genetics
itil,itil
sdlc,sdlc
life cycle,life cycle
waterfall,waterfall
